I;Score;I;Score;I;Score;I;Score;I;Score;I;Score;I;Score;I;Score;I;Score
S1;43;S14;40;S27;38;S40;33;S53;32;S66;37;S79;44;S92;42;S105;27
S2;31;S15;48;S28;33;S41;33;S54;41;S67;39;S80;19;S93;44;S106;33
S3;38;S16;37;S29;44;S42;35;S55;31;S68;36;S81;34;S94;20;S107;25
S4;40;S17;40;S30;44;S43;45;S56;36;S69;10;S82;39;S95;44;S108;18
S5;40;S18;32;S31;49;S44;43;S57;29;S70;26;S83;24;S96;21;S109;44
S6;41;S19;13;S32;24;S45;9;S58;22;S71;23;S84;34;S97;26;S110;37
S7;28;S20;24;S33;18;S46;36;S59;36;S72;27;S85;34;S98;32;S111;48
S8;41;S21;28;S34;49;S47;30;S60;37;S73;26;S86;21;S99;36;S112;29
S9;43;S22;33;S35;41;S48;12;S61;35;S74;20;S87;38;S100;44;S113;35
S10;41;S23;18;S36;25;S49;25;S62;30;S75;24;S88;19;S101;37;;
S11;41;S24;36;S37;27;S50;16;S63;25;S76;37;S89;42;S102;8;;
S12;41;S25;47;S38;43;S51;36;S64;20;S77;45;S90;46;S103;29;;
S13;35;S26;29;S39;11;S52;25;S65;39;S78;43;S91;50;S104;42;;
